Year,Country Code,Current Amount2,Aid_class,Funding Agency Acronym,Region
2007,MX,196725,Admin Costs,USAID,Western Hemisphere
2007,MX,133329,Admin Costs,USAID,Western Hemisphere
2007,MX,21588,Admin Costs,USAID,Western Hemisphere
2007,MX,396130,Admin Costs,USAID,Western Hemisphere
2007,MX,17083310,Admin Costs,State,Western Hemisphere
2007,MX,650000,Admin Costs,USAID,Western Hemisphere
2007,MX,905495,Admin Costs,USAID,Western Hemisphere
2007,MX,37984,Admin Costs,USAID,Western Hemisphere
2007,MX,9883,Admin Costs,USAID,Western Hemisphere
2007,MX,69038,Admin Costs,USAID,Western Hemisphere
2007,MX,48,Admin Costs,USAID,Western Hemisphere
2007,MX,605671,Admin Costs,USAID,Western Hemisphere
2007,MX,20320,Admin Costs,USAID,Western Hemisphere
2007,MX,10545,Admin Costs,USAID,Western Hemisphere
2007,MX,21662,Admin Costs,USAID,Western Hemisphere
2007,MX,10269,Admin Costs,USAID,Western Hemisphere
2007,MX,100000,Admin Costs,USAID,Western Hemisphere
2007,MX,100000,Admin Costs,DOE,Western Hemisphere
2007,MX,100000,Agriculture,DOE,Western Hemisphere
2007,MX,20000,Agriculture,DOI,Western Hemisphere
2007,MX,40000,Agriculture,DOI,Western Hemisphere
2007,MX,24999,Agriculture,DOI,Western Hemisphere
2007,MX,45000,Agriculture,DOI,Western Hemisphere
2007,MX,50000,Agriculture,DOI,Western Hemisphere
2007,MX,35000,Agriculture,DOI,Western Hemisphere
2007,MX,50000,Agriculture,DOI,Western Hemisphere
2007,MX,30000,Agriculture,DOI,Western Hemisphere
2007,MX,40000,Agriculture,DOI,Western Hemisphere
2007,MX,45000,Agriculture,DOI,Western Hemisphere
2007,MX,30690,Agriculture,DOI,Western Hemisphere
2007,MX,20000,Agriculture,DOI,Western Hemisphere
2007,MX,40000,Agriculture,DOI,Western Hemisphere
2007,MX,7562,Agriculture,DOI,Western Hemisphere
2007,MX,10000,Agriculture,DOI,Western Hemisphere
2007,MX,7792,Agriculture,DOI,Western Hemisphere
2007,MX,45000,Agriculture,DOI,Western Hemisphere
2007,MX,9750,Agriculture,DOI,Western Hemisphere
2007,MX,30236,Agriculture,DOI,Western Hemisphere
2007,MX,45000,Agriculture,DOI,Western Hemisphere
2007,MX,70000,Agriculture,DOI,Western Hemisphere
2007,MX,32000,Agriculture,DOI,Western Hemisphere
2007,MX,249060,Agriculture,DOI,Western Hemisphere
2007,MX,56000,Agriculture,DOI,Western Hemisphere
2007,MX,75820,Agriculture,DOI,Western Hemisphere
2007,MX,111850,Agriculture,DOI,Western Hemisphere
2007,MX,203019,Agriculture,DOI,Western Hemisphere
2007,MX,94051,Agriculture,DOI,Western Hemisphere
2007,MX,247296,Agriculture,DOI,Western Hemisphere
2007,MX,206000,Agriculture,DOI,Western Hemisphere
2007,MX,130184,Agriculture,DOI,Western Hemisphere
2007,MX,50433,Agriculture,DOI,Western Hemisphere
2007,MX,407538,Agriculture,DOI,Western Hemisphere
2007,MX,64779,Agriculture,DOI,Western Hemisphere
2007,MX,91654,Agriculture,DOI,Western Hemisphere
2007,MX,127034,Agriculture,DOI,Western Hemisphere
2007,MX,172860,Agriculture,DOI,Western Hemisphere
2007,MX,732710,Agriculture,DOI,Western Hemisphere
2007,MX,119735,Agriculture,DOI,Western Hemisphere
2007,MX,145000,Agriculture,DOI,Western Hemisphere
2007,MX,115513,Agriculture,DOI,Western Hemisphere
2007,MX,144554,Agriculture,USAID,Western Hemisphere
2007,MX,9614,Agriculture,USAID,Western Hemisphere
2007,MX,-5346,Agriculture,USAID,Western Hemisphere
2007,MX,637,Agriculture,USAID,Western Hemisphere
2007,MX,97728,Agriculture,USAID,Western Hemisphere
2007,MX,6434,Agriculture,USAID,Western Hemisphere
2007,MX,464422,Agriculture,USAID,Western Hemisphere
2007,MX,30000,Agriculture,USAID,Western Hemisphere
2007,MX,2572870,Agriculture,USAID,Western Hemisphere
2007,MX,20000,Agriculture,USAID,Western Hemisphere
2007,MX,50381,Agriculture,USAID,Western Hemisphere
2007,MX,145100,Agriculture,IAF,Western Hemisphere
2007,MX,148070,Agriculture,IAF,Western Hemisphere
2007,MX,43991,Agriculture,IAF,Western Hemisphere
2007,MX,42400,Agriculture,IAF,Western Hemisphere
2007,MX,37816,Agriculture,IAF,Western Hemisphere
2007,MX,103196,Agriculture,IAF,Western Hemisphere
2007,MX,6332,Agriculture,IAF,Western Hemisphere
2007,MX,28867,Agriculture,IAF,Western Hemisphere
2007,MX,68020,Agriculture,IAF,Western Hemisphere
2007,MX,57771,Agriculture,IAF,Western Hemisphere
2007,MX,73753,Agriculture,IAF,Western Hemisphere
2007,MX,442331,Agriculture,USAID,Western Hemisphere
2007,MX,596298,Agriculture,USAID,Western Hemisphere
2007,MX,22154,Agriculture,IAF,Western Hemisphere
2007,MX,35000,Agriculture,IAF,Western Hemisphere
2007,MX,48100,Agriculture,State,Western Hemisphere
2007,MX,40000,Agriculture,State,Western Hemisphere
2007,MX,34550,Agriculture,State,Western Hemisphere
2007,MX,45510,Agriculture,State,Western Hemisphere
2007,MX,30000,Agriculture,State,Western Hemisphere
2007,MX,57000,Agriculture,State,Western Hemisphere
2007,MX,500000,Agriculture,State,Western Hemisphere
2007,MX,100000,Agriculture,USAID,Western Hemisphere
2007,MX,150000,Agriculture,USAID,Western Hemisphere
2007,MX,146739,Agriculture,USAID,Western Hemisphere
2007,MX,198686,Agriculture,USAID,Western Hemisphere
2007,MX,43227,Agriculture,USAID,Western Hemisphere
2007,MX,335901,Agriculture,USAID,Western Hemisphere
2007,MX,730436,Agriculture,USAID,Western Hemisphere
2007,MX,326000,Agriculture,USAID,Western Hemisphere
2007,MX,99233,Agriculture,USAID,Western Hemisphere
2007,MX,669626,Agriculture,USAID,Western Hemisphere
2007,MX,1071331,Agriculture,USAID,Western Hemisphere
2007,MX,332830,Agriculture,USAID,Western Hemisphere
2007,MX,40000,Agriculture,IAF,Western Hemisphere
2007,MX,80000,Agriculture,USAID,Western Hemisphere
2007,MX,91110,Agriculture,USAID,Western Hemisphere
2007,MX,64115,Agriculture,USAID,Western Hemisphere
2007,MX,373043,Agriculture,USAID,Western Hemisphere
2007,MX,284254,Agriculture,USAID,Western Hemisphere
2007,MX,29615,Agriculture,USAID,Western Hemisphere
2007,MX,99954,Agriculture,USAID,Western Hemisphere
2007,MX,17000,Agriculture,DOC,Western Hemisphere
2007,MX,12000,Agriculture,DOC,Western Hemisphere
2007,MX,52000,Agriculture,DOC,Western Hemisphere
2007,MX,64600,Agriculture,IAF,Western Hemisphere
2007,MX,27336,Agriculture,IAF,Western Hemisphere
2007,MX,101777,Agriculture,IAF,Western Hemisphere
2007,MX,30677,Agriculture,USAID,Western Hemisphere
2007,MX,312500,Agriculture,USAID,Western Hemisphere
2007,MX,5443844,Agriculture,USAID,Western Hemisphere
2007,MX,665156,Agriculture,USAID,Western Hemisphere
2007,MX,1466136,Agriculture,USAID,Western Hemisphere
2007,MX,21025,Agriculture,USAID,Western Hemisphere
2007,MX,56200,Agriculture,State,Western Hemisphere
2007,MX,3495,Agriculture,USAID,Western Hemisphere
2007,MX,11628,Agriculture,USAID,Western Hemisphere
2007,MX,65705,Agriculture,USAID,Western Hemisphere
2007,MX,1668807,Agriculture,USAID,Western Hemisphere
2007,MX,40000,Economic Growth,TDA,Western Hemisphere
2007,MX,79190,Economic Growth,TDA,Western Hemisphere
2007,MX,478200,Economic Growth,TDA,Western Hemisphere
2007,MX,64800,Economic Growth,TDA,Western Hemisphere
2007,MX,44185,Economic Growth,TDA,Western Hemisphere
2007,MX,8995,Economic Growth,TDA,Western Hemisphere
2007,MX,10469,Economic Growth,TDA,Western Hemisphere
2007,MX,41595,Economic Growth,TDA,Western Hemisphere
2007,MX,465909,Economic Growth,TDA,Western Hemisphere
2007,MX,24985,Economic Growth,TDA,Western Hemisphere
2007,MX,7499,Economic Growth,TDA,Western Hemisphere
2007,MX,100000,Economic Growth,TDA,Western Hemisphere
2007,MX,24944,Economic Growth,TDA,Western Hemisphere
2007,MX,264780,Economic Growth,TDA,Western Hemisphere
2007,MX,28504,Economic Growth,State,Western Hemisphere
2007,MX,145255,Economic Growth,State,Western Hemisphere
2007,MX,175000,Economic Growth,USAID,Western Hemisphere
2007,MX,19800,Economic Growth,TREAS,Western Hemisphere
2007,MX,95425,Economic Growth,USAID,Western Hemisphere
2007,MX,10000,Economic Growth,HHS,Western Hemisphere
2007,MX,15000,Economic Growth,DOT,Western Hemisphere
2007,MX,107000,Economic Growth,AGR,Western Hemisphere
2007,MX,35000,Economic Growth,AGR,Western Hemisphere
2007,MX,968524,Economic Growth,PC,Western Hemisphere
2007,MX,588,Economic Growth,TDA,Western Hemisphere
2007,MX,725000,Economic Growth,USAID,Western Hemisphere
2007,MX,252860,Economic Growth,TDA,Western Hemisphere
2007,MX,34539,Economic Growth,USAID,Western Hemisphere
2007,MX,100000,Economic Growth,USAID,Western Hemisphere
2007,MX,43940,Economic Growth,USAID,Western Hemisphere
2007,MX,108000,Economic Growth,TDA,Western Hemisphere
2007,MX,57000,Admin Costs,DOD,Western Hemisphere
2007,MX,15508000,Admin Costs,DOD,Western Hemisphere
2008,MX,34200,Other,USAID,Western Hemisphere
2008,MX,92118,Other,USAID,Western Hemisphere
2008,MX,5431,Other,USAID,Western Hemisphere
2008,MX,615,Other,USAID,Western Hemisphere
2008,MX,24513,Other,USAID,Western Hemisphere
2008,MX,11732,Other,USAID,Western Hemisphere
2008,MX,421,Other,USAID,Western Hemisphere
2008,MX,1366,Other,USAID,Western Hemisphere
2008,MX,53112,Other,USAID,Western Hemisphere
2008,MX,28016,Other,USAID,Western Hemisphere
2008,MX,10,Other,USAID,Western Hemisphere
2008,MX,82560,Other,USAID,Western Hemisphere
2008,MX,27171,Other,USAID,Western Hemisphere
2008,MX,25200,Other,USAID,Western Hemisphere
2008,MX,605595,Other,USAID,Western Hemisphere
2008,MX,114417,Other,USAID,Western Hemisphere
2008,MX,330026,Other,USAID,Western Hemisphere
2008,MX,226655,Other,USAID,Western Hemisphere
2008,MX,57866,Other,USAID,Western Hemisphere
2008,MX,28729,Other,USAID,Western Hemisphere
2008,MX,21742,Other,USAID,Western Hemisphere
2008,MX,-3497,Governance,USAID,Western Hemisphere
2008,MX,170390,Humanitarian,USAID,Western Hemisphere
2008,MX,13192,Humanitarian,USAID,Western Hemisphere
2008,MX,4002,Humanitarian,USAID,Western Hemisphere
2008,MX,794671,Humanitarian,USAID,Western Hemisphere
2008,MX,220000,Humanitarian,USAID,Western Hemisphere
2008,MX,213891,Humanitarian,USAID,Western Hemisphere
2008,MX,665656,Humanitarian,USAID,Western Hemisphere
2008,MX,525599,Humanitarian,USAID,Western Hemisphere
2008,MX,11000,Humanitarian,USAID,Western Hemisphere
2008,MX,1250000,Humanitarian,USAID,Western Hemisphere
2008,MX,194,Agriculture,USAID,Western Hemisphere
2008,MX,9943,Agriculture,USAID,Western Hemisphere
2008,MX,250000,Agriculture,USAID,Western Hemisphere
2008,MX,5683,Agriculture,USAID,Western Hemisphere
2008,MX,1471,Agriculture,USAID,Western Hemisphere
2008,MX,8514,Agriculture,USAID,Western Hemisphere
2008,MX,-270,Agriculture,USAID,Western Hemisphere
2008,MX,20451,Agriculture,USAID,Western Hemisphere
2008,MX,918,Agriculture,USAID,Western Hemisphere
2008,MX,300000,Agriculture,USAID,Western Hemisphere
2008,MX,57689,Agriculture,USAID,Western Hemisphere
2008,MX,295000,Agriculture,USAID,Western Hemisphere
2008,MX,463605,Agriculture,USAID,Western Hemisphere
2008,MX,284201,Agriculture,USAID,Western Hemisphere
2008,MX,3400,Agriculture,USAID,Western Hemisphere
2008,MX,46866,Agriculture,USAID,Western Hemisphere
2008,MX,295,Agriculture,USAID,Western Hemisphere
2008,MX,2274634,Agriculture,USAID,Western Hemisphere
2008,MX,595202,Agriculture,USAID,Western Hemisphere
2008,MX,37208,Agriculture,USAID,Western Hemisphere
2008,MX,89901,Agriculture,USAID,Western Hemisphere
